portno,name,description
1,tcpmux,# TCP Port Service Multiplexer
2,compressnet,# Management Utility
3,compressnet,# Compression Process
5,rje,# Remote Job Entry
7,echo,# Echo
9,discard,# Discard
11,systat,# Active Users
13,daytime,# Daytime (RFC 867)
17,qotd,# Quote of the Day
18,msp,# Message Send Protocol
19,chargen,# Character Generator
20,ftp-data,# File Transfer [Default Data]
21,ftp,# File Transfer [Control]
22,ssh,# SSH Remote Login Protocol
23,telnet,# Telnet
25,smtp,# Simple Mail Transfer
27,nsw-fe,# NSW User System FE
29,msg-icp,# MSG ICP
31,msg-auth,# MSG Authentication
33,dsp,# Display Support Protocol
37,time,# Time
38,rap,# Route Access Protocol
39,rlp,# Resource Location Protocol
41,graphics,# Graphics
42,name,# Host Name Server
43,nicname,# whois
44,mpm-flags,# MPM FLAGS Protocol
45,mpm,# Message Processing Module [recv]
46,mpm-snd,# MPM [default send]
47,ni-ftp,# NI FTP
48,auditd,# Digital Audit Daemon
49,tacacs,# Login Host Protocol (TACACS)
50,re-mail-ck,# Remote Mail Checking Protocol
51,la-maint,# IMP Logical Address Maintenance
52,xns-time,# XNS Time Protocol
53,domain,# Domain Name Server
54,xns-ch,# XNS Clearinghouse
55,isi-gl,# ISI Graphics Language
56,xns-auth,# XNS Authentication
58,xns-mail,# XNS Mail
61,ni-mail,# NI MAIL
62,acas,# ACA Services
63,whois++,# whois++
64,covia,# Communications Integrator (CI)
65,tacacs-ds,# TACACS-Database Service
66,sql*net,# Oracle SQL*NET
67,bootps,# Bootstrap Protocol Server
68,bootpc,# Bootstrap Protocol Client
69,tftp,# Trivial File Transfer
70,gopher,# Gopher
71,netrjs-1,# Remote Job Service
72,netrjs-2,# Remote Job Service
73,netrjs-3,# Remote Job Service
74,netrjs-4,# Remote Job Service
76,deos,# Distributed External Object Store
78,vettcp,# vettcp
79,finger,# Finger
80,http,# www www-http,,
81,hosts2-ns,# HOSTS2 Name Server
82,xfer,# XFER Utility
83,mit-ml-dev,# MIT ML Device
84,ctf,# Common Trace Facility
85,mit-ml-dev,# MIT ML Device
86,mfcobol,# Micro Focus Cobol
88,kerberos,# Kerberos
89,su-mit-tg,# SU/MIT Telnet Gateway
90,dnsix,# DNSIX Securit Attribute Token Map
91,mit-dov,# MIT Dover Spooler
92,npp,# Network Printing Protocol
93,dcp,# Device Control Protocol
94,objcall,# Tivoli Object Dispatcher
95,supdup,# SUPDUP
96,dixie,# DIXIE Protocol Specification
97,swift-rvf,# Swift Remote Virtural File Protocol
98,tacnews,# TAC News
99,metagram,# Metagram Relay
100,newacct,# [unauthorized use]
101,hostname,# NIC Host Name Server
102,iso-tsap,# ISO-TSAP Class 0
103,gppitnp,# Genesis Point-to-Point Trans Net
104,acr-nema,# ACR-NEMA Digital Imag. & Comm. 300
105,csnet-ns,# Mailbox Name Nameserver
105,cso,# CCSO name server protocol
106,3com-tsmux,# 3COM-TSMUX
107,rtelnet,# Remote Telnet Service
108,snagas,# SNA Gateway Access Server
109,pop2,# Post Office Protocol - Version 2
110,pop3,# Post Office Protocol - Version 3
111,sunrpc,# SUN Remote Procedure Call
112,mcidas,# McIDAS Data Transmission Protocol
113,auth,# ident,,
114,audionews,# Audio News Multicast
115,sftp,# Simple File Transfer Protocol
116,ansanotify,# ANSA REX Notify
117,uucp-path,# UUCP Path Service
118,sqlserv,# SQL Services
119,nntp,# Network News Transfer Protocol
120,cfdptkt,# CFDPTKT
121,erpc,# Encore Expedited Remote Pro.Call
122,smakynet,# SMAKYNET
123,ntp,# Network Time Protocol
124,ansatrader,# ANSA REX Trader
125,locus-map,# Locus PC-Interface Net Map Ser
126,nxedit,# NXEdit
127,locus-con,# Locus PC-Interface Conn Server
128,gss-xlicen,# GSS X License Verification
129,pwdgen,# Password Generator Protocol
130,cisco-fna,# cisco FNATIVE
131,cisco-tna,# cisco TNATIVE
132,cisco-sys,# cisco SYSMAINT
133,statsrv,# Statistics Service
134,ingres-net,# INGRES-NET Service
135,epmap,# DCE endpoint resolution
136,profile,# PROFILE Naming System
137,netbios-ns,# NETBIOS Name Service
138,netbios-dgm,# NETBIOS Datagram Service
139,netbios-ssn,# NETBIOS Session Service
140,emfis-data,# EMFIS Data Service
141,emfis-cntl,# EMFIS Control Service
142,bl-idm,# Britton-Lee IDM
143,imap,# Internet Message Access Protocol
144,uma,# Universal Management Architecture
145,uaac,# UAAC Protocol
146,iso-tp0,# ISO-IP0
147,iso-ip,# ISO-IP
148,jargon,# Jargon
149,aed-512,# AED 512 Emulation Service
150,sql-net,# SQL-NET
151,hems,# HEMS
152,bftp,# Background File Transfer Program
153,sgmp,# SGMP
154,netsc-prod,# NETSC
155,netsc-dev,# NETSC
156,sqlsrv,# SQL Service
157,knet-cmp,# KNET/VM Command/Message Protocol
158,pcmail-srv,# PCMail Server
159,nss-routing,# NSS-Routing
160,sgmp-traps,# SGMP-TRAPS
161,snmp,# SNMP
162,snmptrap,# SNMPTRAP
